Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
ABM (ADVANCED BIOLOGICAL MARKETING),64458,80616.7,63107.27,71996.99,63023.25,73006.77,71840.33,91750.43
ABN AMRO HOLDINGS USA LLC,850853.03,457755.86,547154.47,765678.23,860995.22,426149.28,860019.95,964539.85
ABRASIVE TECHNOLOGY INC,294328.08,210111.22,178839.48,234684.74,191018.24,238156.99,214269.2,182855.82
ABS CAPITAL PARTNERS INC,236451.06,140296.58,161173.5,157366.17,177666.45,204679.87,168176.71,111354.55
ABS INVESTMENT MANAGEMENT LLC,229242.57,150689.13,291044.56,214301.91,195471.58,316923.46,249359.81,169792.5
ABSIO CORPORATION,31231.82,17983.77,14331.78,10650.45,11292.06,15786.54,7858.94,1705.67
ABSOLUTE SOFTWARE CORPORATION,1408131.95,1176205.74,940017.4,1027724.25,1306475.59,1171967.89,1322277.75,945147.86
"ABTECH TECHNOLOGIES, INC.",19756.56,53300.04,41399.5,28507.9,38837.41,53493.22,41398.31,41617.51
"ACACIA COMMUNICATIONS, INC.",353032.64,233328.62,467507.76,548225.75,546780.83,537377.12,596307.15,485845.44
ACADEMIC ANALYTICS,223538.92,139560.85,229894.83,131015.77,186762.83,167005.36,178287.07,154994.12
ACADEMIC PARTNERSHIPS LLC,375050.09,367613.16,371259.02,431214.87,536566.69,578137.51,622492.87,547988.02
ACADIA PHARMACEUTICALS INC.,769858.94,1100277.35,1601018.72,2100843.38,2117150.06,2198193.05,2578493.72,2573263.24
ACADIAN ASSET MANAGEMENT LLC,923281.58,852067.22,1222677.45,1145903.97,1143839.38,912400.73,1329875.12,1130214.86
ACADIAN SEAPLANTS LIMITED - CTE,486784.62,382950.48,487155.11,481248.77,552468.84,551703.63,530378.31,634219.99
ACAL BFI UK,95405.29,79326.35,85699.59,69525.26,64472.52,60042.57,60935.36,44490.53
ACCEL PARTNERS MANAGEMENT,540163.98,640670.01,692494.76,549890.61,776348.36,547877.59,421245.35,634421.36
ACCELERATE LEARNING,188442.77,158907.49,187519.38,199898.64,196769.82,199692.7,274135.65,248602.12
"ACCELERATION ACADEMIES, LLC",24476.26,18054.1,7823.42,8882.69,6165.22,7223.38,5375.83,10972.33
ACCELERATOR CORPORATION,118573.72,90117.01,109600.59,91798.24,76847.54,69575.45,88433.75,57079.32
"ACCELLION, INC.",268419.95,238782.47,217956.21,251025.87,193252.74,239606.07,265464,235894.9
"ACCESS INSURANCE HOLDINGS, INC.",137928.73,131469.43,109480.06,153538.01,193926.97,208891.84,169637.5,170366
"ACCESS INTELLIGENCE, LLC",969275.17,626805.24,812430.15,560457.73,756378.21,678480.14,1031199.45,693024.67
ACCESS MANAGEMENT SERVICES,98165.33,63108.18,62452.96,70708.42,75195.06,74804.71,70596.45,75402.79
ACCESS SCIENTIFIC,292818.99,375881.59,397776.97,368855.65,351371.61,347813.56,389075.69,366815.25
"ACCESS TCA, INC.",1730528.13,1477528.21,2291721.27,1170858.73,865607.13,2544759.82,2852116.13,1462398.51
ACCESS WORLD (USA) LLC,305147.58,322061.33,305823.58,289452.52,329288.42,199439.35,213658.93,186624.43
ACCESSLEX INSTITUTE,51439.55,69578.04,125521.44,113924.14,118495.08,98776.1,85158.77,75937.69
ACCIONA ENERGY USA GLOBAL LLC,924013.54,738041.01,771078.85,436254.83,440085.27,494688.97,522308.83,411764.27
ACCO UK LTD,407331.89,373699.99,377651.53,369803.28,351919.54,305939.02,332444,279483.86
"ACCOLADE WINES NORTH AMERICA, INC.",95068.17,110102.74,153361.85,102049.42,119057.05,124080.45,99617.79,106596.55
"ACCORDANT ENERGY, LLC",8574.65,46407.01,27490.3,23112.61,19095.82,30271.17,33371.81,6591.22
"ACCOUNT CONTROL TECHNOLOGY HOLDINGS, INC.",639216.79,772235.41,884548.92,702080.3,687004.72,719503.12,647531.26,669545.78
ACCREDITING COUNCIL FOR INDEPENDENT COLLEGES AND S,514396.53,726843.61,634837.71,515522.57,556419.33,413745.41,129148.55,77226.31
ACCUDATA SYSTEMS INC,570067.09,649308.92,593156.86,569707.28,499205.53,656805.61,487354.11,581309.91
"ACCUFORM MANUFACTURING, INC",370387.34,326790.96,486926.44,316785.48,373838.62,277980.23,318455.15,447983.1
"ACCURATE BACKGROUND, INC.",175970.83,82595.24,136263.72,158864.39,184956.27,169651.03,214929.35,190894.46
"ACCUTEMP PRODUCTS, INC",98202.48,97811.63,146682.74,151304.3,87428.1,177881.63,152507.02,140473.65
"ACCU-TIME SYSTEMS, INC",63582.25,34209.3,36916.29,37724.98,50943.9,35241.07,60699.7,51804.67
ACELRX PHARMACEUTICALS INC,314716.4,353103.72,275978.46,347690.66,346850.07,239892.59,237691.57,107139.89
ACENDAS,105568.15,134871.07,106308.64,147076.14,149821.77,160451.73,127331.98,111145.77
ACERTA PHARMA,333298.08,454937.2,379789.52,307248.37,373789.98,348524.02,265043.91,283743.97
"ACHIEVE 3000, INC.",1382084.55,1200849.16,1112374.09,1065337.23,1448846.95,1278702.72,1362252.49,1391053.55
ACHILLION PHARMACEUTICALS INC,84529.13,429445.71,426318.27,304998.64,374137.56,436817.51,442878.62,325489.48
ACI ENTERPRISES,116998.13,110295.32,115985.05,171032.65,173735.21,230731.35,184161.44,201970.01
ACISION,407787.73,453979.4,458788,454623.52,562864.53,469117.92,477249.93,423934.78
ACM MEDICAL LABORATORY,205344.17,134194.82,192228.37,146885.68,185878.69,198833.24,245383.2,247342.1
ACONEX LIMITED,1038709.69,991306.2,1420851.66,1318531.38,1412384.01,1401265.66,1104044.4,983457.49
ACORD CORPORATION,292670.96,332759.87,123778.71,125931.39,255386.78,187713.48,368377.15,211096.75
"ACORDA THERAPEUTICS, INC",2153789.26,1784459.79,1717576.38,1458009.08,1740149.02,1604693.99,1570593.26,1247004.48
ACPRODUCTS INC.,583004.93,506909.83,535800.14,633870.81,582774.13,587830.75,560488.77,567927.28
ACQUIA,1865720.41,1628274.99,1293416.54,1267436.53,1494064.54,1439262.16,1808949.76,1402508.91
"ACRISURE, LLC",441194.62,479159.69,558048.71,490530.82,705380.52,456438.95,729587.73,691622.12
"ACTEGA KELSTAR, INC.",399821.11,625466.3,688257.02,575841.27,489711.55,657897.29,527723.52,473221.47
ACTELION PHARMACEUTIQUES CANADA INC,256537.33,222039.41,287653.78,147683.65,287920.32,227043.88,333961.65,178414.54
"ACTELIS NETWORKS, INC.",76957.32,44507.59,42681.68,44233.86,51656.72,54099.38,39669.51,40567
"ACTIANCE, INC. (FKA FACETIME COMMUNICATIONS)",340199.35,305235.26,273407.08,326664.7,413675.33,316493.22,396370.16,287413.32
ACTIFIO INC.,1783814.76,1488233.04,1307308.43,1391154.53,1065439.03,962475.58,1093634.97,1124820.9
"ACTIVE AERO GROUP, INC",672337.96,567968.89,413069.95,566322.68,706849.25,764898.42,723661.36,769458.47
ACTON MOBILE INDUSTRIES,566475.06,472419.97,359543.98,378545.54,204456.19,194722.18,270010.7,122748.43
ACTUA USA CORPORATION,116770.75,146529.49,99820.14,134205.09,125209.57,82611.45,104587.59,84117.09
ACUCELA INC,367762.26,372783.51,384304.34,285890.68,240138.58,387173.61,312914.63,241599.09
ACUITY HEALTHCARE LP,126443.38,126452.1,137713.12,92112.36,104317.3,83865.96,95629.77,86847.79
ACUMED,526280.51,393235.97,526192.11,415343.17,476600.3,433975.28,489971.31,534574.2
ACUPATH LABORATORIES,48109.09,50159.48,46690.62,56253.32,57253.52,59000.61,72593.8,40875.75
ADA CARBON SOLUTIONS LLC,413070.13,430564.2,402553.48,450559.65,430697.88,467943.4,429574.19,376959.93
ADACEL INC,54747.38,85209.39,55968.07,30257.77,62918.34,62535.06,68014.42,47562.53
"ADAGE CAPITAL MANAGEMENT, L.P.",133925.37,88367.3,73083.88,80951.89,110556.58,82396.64,141083.38,76187.92
ADAMA AUSTRALIA PTY LIMITED,67899.73,81116.42,110496.64,155503.93,161247.56,125868.56,143977.37,203518.89
ADAMS BANK & TRUST,139381.96,104465.62,125356.34,118944.07,128023.15,121115.93,144678.29,124067.17
"ADAMS STREET PARTNERS, LLC",559578.82,437630.61,631012.66,430938.57,727165.08,434786.79,642529.78,603692.41
"ADAPT TELEPHONY SERVICES, LLC",105457.41,94915.23,188232.7,198963.69,220693.9,187339.34,232595.95,183756.68
ADAPTIVE BIOTECHNOLOGIES CORP.,674939.65,695627.77,772443.21,642292.75,589297.03,509528.32,581590.35,621059.39
"ADARA, INC.",559354.57,634386.18,452434.03,467185,500079.23,456918.49,457131.37,509296.73
ADB AIRFIELD SOLUTIONS LLC,672628.63,486940.06,532584.2,614265.33,711560.79,629959.36,746854.49,691186.54
ADELAIDE AIRPORT LIMITED,290681.43,202812.07,306926.96,273358.97,294756.41,256750.83,260500.08,308712.39
"ADELMAN TRAVEL SYSTEMS, INC.",262714.1,226461.82,101369.16,145149.75,285506.15,88717.8,203281.49,190060.34
ADEPT FASTENERS,101675.6,110305.19,86330.9,99262.11,121002.73,139826.14,141612.06,107361.66
ADEPT GROUP LLC,31644.85,28473.61,40105.47,41705.56,19689.32,15009.34,9980.44,7142.4
"ADEPTIA, INC",17286.58,26503.62,15537.05,12289.19,10070.87,21126.59,15871.99,16036.03
ADEPTIVE SOFTWARE CORPORATION,65498.95,54635.57,59865.74,83149.93,55135.35,75705.21,47343.24,55791.86
ADISSEO USA INC,158758.89,159268.09,160126.13,193994.22,210115.02,197566.17,182516.08,219286.5
ADKNOWLEDGE INC,978361.21,970034.5,1094865.37,1007376.76,1074623.71,803386.4,759938.85,591107.99
ADLETA CORPORATION,169749.11,107702.21,140516.37,123280.32,173530.55,108641.21,143030.96,132620.48
"ADMARKETPLACE, INC.",95560.98,81158.35,95575.51,131101.81,104631.84,124975.27,144511.63,83055.68
ADMEDUS LTD,42490.55,61118.93,94053.5,56566.35,78259.03,34402.96,41708.72,107279.38
"ADMIX, INC.",30624.32,56783.31,70387.72,62346.44,77806.27,81448.17,95303.49,89167
ADRIANNA PAPELL,62886.02,33705.87,55000.6,27048.53,122209.09,48889.4,30104.02,78259.01
ADROLL,1345885.35,1160527.85,1643035.41,1760401.16,1537147,860550.63,1230761.68,864425.87
ADSPACE NETWORKS,147037.2,118327.84,117599.76,115988.47,112782.62,130094.06,123868.55,157000.54
"ADTHEORENT, INC.",357893.69,335323.99,538245.66,502883.37,453872.81,525818.83,689032.78,659149.38
ADTRAV CORPORATION (AGENCY SITE),11560.05,7491.28,10675.31,12124.41,8427.53,11846.03,9181.35,8429.46
"ADURO, INC",148848.97,106518.08,165212.02,161223.96,153374.12,148654.87,229995.57,146574.25
ADVAMED,277519.03,128538.71,201634.41,196983.38,247230,211538.42,198035.5,177239.08
"ADVANCE COMPONENTS, INC.",70315.2,40726.64,49486.56,70409.17,52676.31,46317.39,55871.94,51488.15
ADVANCE STORAGE PRODUCTS,296206.77,283886.23,481756.96,411074.97,427628.59,363700.43,385482.77,397832.35
"ADVANCED BIONICS, LLC",983960.44,686631.99,895610.18,862722.28,861433.2,649977.56,790266.42,876252.51
ADVANCED CIRCULATORY SYSTEMS INC,230109.04,288188.9,153375.04,190299.22,180529.49,172691.06,119467.17,138666.62
"ADVANCED CONTROL SYSTEMS, INC.",242377.06,550694.17,586617.8,544982.34,684536.66,735061.27,223158.11,192632.39
ADVANCED CTE,734310.53,618660.91,727268.75,672569.34,681825.02,768260.76,784099.59,758080.11
"ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES, INC.",93991.89,77810.34,79364.58,114229.73,107119.47,110699.89,105435.38,106901.69
ADVANCED FLEXIBLE COMPOSITES,412232.76,399260.58,428797.67,432861.88,494009.47,436203.16,518594.64,587672.37
"ADVANCED ICU CARE, INC.",418957.06,359426.49,396967.07,357955.3,326203.8,277086.04,352688.04,357615.35
ADVANCED MACHINERY SYSTEMS,40450.05,35372.41,48622.21,74719.56,36367.86,78077.27,14724.62,71109.83
ADVANCED PATIENT ADVOCACY,208479.28,167435.18,215805.59,179754.46,177635.77,213711.79,259723.54,210802.37
"ADVANCED ROOFING, INC.",189856.22,107657.85,164089.7,131905.26,135978.48,189451.39,301849.61,402406.24
ADVANCED SOLUTIONS INTERNATIONAL,758329.32,785913.96,734606.47,784788.12,752165.87,735689.05,920764.09,674824.25
ADVANCEDMD,385839.67,463441.91,448379.79,424570.39,614411.48,253973.76,262780.38,343137.75
"ADVANTEL, INCORPORATED",44343.33,101427.9,108192.38,102942.82,103941.34,118228.94,108973.77,136251.38
"ADVANTUS, CORP.",802796.69,913054.81,864390.38,777773.38,1233634.66,1384905.94,987149.32,969123.67
ADVENTOS,6806.9,35277.01,33546.75,32934.48,15282.67,14944.52,14333.85,24442.96
ADVENTURE FOREST LTD,275443.38,287349.91,223594.42,258004.69,245199.49,267991.05,216549.47,259653.45
ADVERTISING SPECIALTY INSTITUTE,326032.38,323662.61,240651.52,272824.07,184745.37,269457.44,179873.35,262098.97
"ADVICENT SOLUTIONS, LP",311591.74,357097.62,263217.01,259731.38,290674.96,201791.23,220682.16,121174.25
ADVISEN LTD.,328500.59,318666.69,675115.66,342697.25,553741.97,457394.87,378904.06,397334.46
ADVISORS ASSET MANAGEMENT INC.,277244.89,204230.74,262012.07,209671.16,271695.51,264030.22,303767.57,196824.13
AEGERION PHARMACEUTICALS,2849098.17,1686467.22,1587295.69,1187605,1056986.7,1052647.46,1570562.1,1176671.13
"AEGIS INSURANCE SERVICES, INC.",688806.15,622380.8,722101.23,613294.28,852643.11,733256.78,1012597.81,813008.28
AEGIS SCIENCES CORP.,853147.33,751754.38,700939,712972.87,681536.01,676659.05,631888.02,611613.51
"AERION RENTAL SERVICES, L.L.C.",59122.05,34169.05,33311.61,32914.43,31295.5,34030.96,59867.1,64109.29
"AERIONICS, INC.",61429.64,41810.19,51686.58,37483.99,44806.67,56174.97,45309.53,63541.68
AERLINE HOLDINGS LLC,66128.17,627759.28,743421.29,680374.27,270747.13,91176.19,44740.83,472676.1
AERMONT CAPITAL LLP,216008.8,348898.89,378942.49,232130.39,410288.36,347911.02,392581.94,375356.43
AERO PRECISION INDUSTRIES LLC,301959.98,309210.21,328652.18,330846.23,405449.58,370692.71,392024.24,340614.84
"AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC.",191016.4,158825.41,149040.39,98940.93,170603.34,100300.44,192606.96,156107.11
"AEROSPACE PRODUCTS S.E., INC.",4964.35,12984.43,21956.89,11284.3,8045.5,11506.3,7103.77,3643.36
AERZEN USA CORPORATION,352645.2,305030.24,369805.26,422919.41,370952.32,406429.36,311257.84,626626.32
AES DRILLING FLUIDS LLC,891418.5,664013.73,272973.47,267844.42,346111.42,323062.3,536685.88,674107.16
AETHON INC.,240389.49,262955.76,195995.45,190832.91,257956,184005.97,186706.22,150354.96
"AETOS ALTERNATIVES MANAGEMENT, LLC",146843.81,192954.8,151760.8,87971.96,150963.73,129233.66,165551.36,144799.01
AEVOE CORP,72849.07,124355.03,142436.53,137337.05,97743.04,124211.57,100476.13,74190.78
AEW CAPITAL MANAGEMENT LP,1262834.53,821777.1,1164891.48,880083.01,1538428.94,1089198.78,1284544.58,968054.86
"AFAM CAPITAL, INC.",61763.31,32863.68,36896.35,30295.78,40146.91,38948.18,37910.08,25134.7
AFAXYS INC.,160498.74,171957.8,235718.09,280570.05,264888.51,195973.86,213889.59,194742.36
AFCC AUTOMOTIVE FUEL CELL COOPERATION CORP.,192364.29,92769.17,124468.28,113444.63,248823.36,88756.24,92444.37,86050.84
AFD PETROLEUM LTD,245720.33,251788.45,237564.06,234408.62,179167.21,175999.9,275949.73,161443.11
AFFILIATED WEALTH PARTNERS HOLDINGS LLC,51345.65,94399.69,73869.08,81906.43,92740.42,129598.81,161087.74,110912.52
"AFFINITY DEVELOPMENT GROUP, INC.",533992.7,517178.72,596722.59,457168.45,547907.95,434158.59,476743.57,614399.09
AFFINITY SOLUTIONS,38750.48,28910.16,27032.93,30920.75,21746.38,40981.8,39115.89,46472
AFFLINK LLC,229052.21,218143.44,197745.61,233642.07,192598.11,208440.56,193311.6,188739.83
AFL-CIO,391911.09,297056.65,387803.24,379275.55,391194.1,291289.37,309908.22,196569.79
AFS TECHNOLOGIES,184019.38,110329.93,178567.85,122193.41,117773.14,136994.71,139555.24,102359.93
AG CONNECTIONS,61065.63,64804.75,88799.96,49774.86,107633.48,83352.85,47967.92,54128.56
"AGAMATRIX, INC.",116776.91,88357.85,91551.6,117481.29,78124.3,55406.17,63720.41,69858.54
AGE UK HEARING AIDS,81377.86,54760.18,73799.01,73690.13,66397.27,60822.98,75841.04,80679.27
"AGENA BIOSCIENCE, INC.",369381.83,330640.41,391383.44,423385.25,414313.97,320722.31,364285.91,435143.47
AGENDIA BV,566409.88,522225.25,702770.95,545268.65,584735.15,803464.85,932165.45,661255.29
"AGERA ENERGY, LLC",290744.82,153130.03,218874.83,165557.51,190417.39,159178.24,177129.85,142824.12
AGGREKO GENERATOR RENTALS PTY LTD,270640.03,177392.1,439644.8,464367.94,407375.82,312184.56,300164.55,244694.82
"AGI INDUSTRIES, INC.",188128.48,192678.66,209715.23,166687.96,224680.9,244519.05,325577.68,354781.64
AGILE MIND EDUCATIONAL HOLDINGS INC,300100.62,255017.03,215776.04,470212.24,427629.54,91045.91,164761.84,304162.75
"AGILEA SOLUTIONS, INC.",55691.27,44208.45,67989.25,32524.93,55726.18,80445.66,89018.96,67539.94
AGILEX FLAVORS & FRAGRANCES,214592.65,206075.25,180458.38,153778.48,235784.77,216588.75,254299.43,214261.98
AGILITY FUEL SYSTEMS,677993.92,577962.07,493123.96,492976.04,569720.43,460268.59,574964.09,680318.06
"AGINITY, INC.",347570.61,450535.74,505072.25,448515.72,373036.95,237247.24,221592.48,228478.89
"AGIO, LLC",70544.51,111513.35,153923.48,153959.26,197398.52,128019.03,180445.69,157973.85
AGORA CYBER CHARTER SCHOOL,249472.76,124769.61,263996.79,44113.71,112338,115582.09,313122.95,157707.6
AGR INTERNATIONAL,392466.59,334978.29,390391.01,372223.58,660198.21,376348.16,471358.58,585671.82
AGRARIAN MARKETING CORP,73831.52,45312.95,64771.24,57301.1,58385.64,61308.4,62176.05,41738.25
AGRICEN,140856.55,126190.29,118822.11,157822.04,149942.71,172837.55,142996.62,162792.29
AGRO MERCHANTS GROUP,76231.7,89313.45,101202.58,58507.24,70213,58646.21,43173.74,24778.09
AGSPRING LLC,222652.06,227624.16,226660.36,277029.58,224599.14,253731.81,249926.86,325623.71
AGT PRODUCTS INC,206237.12,162599.12,183777.45,165851.27,217980.23,249383.05,215996.61,243580.32
AGUIRRE & FIELDS LP,115910.89,147287.64,160691.71,189859.81,218272.03,310238.66,247395.61,237103.94
AGUSTA WESTLAND PHILADELPHIA CORPORATION,1329698.77,879356.98,982467.07,834181.74,800669.67,600639.51,1015304.82,796056.49
AHEAD LLC,809484.14,579742.54,857930.87,1026055.34,1212578.19,958732.47,1178047.05,1328549.52
AHERN GROUP LLC,42917.72,38904.59,19809.04,34790.21,25340.51,37415.55,26222.45,28365.68
AIIM,72789.51,27720.01,88459.21,21510.85,29064.15,51565.34,38356.31,43249.96
AIMCO,187441.16,172310.39,183072.86,169373.65,200675.81,153968.03,163853.49,136285.38
AIMIA PROPRIETARY LOYALTY AUSTRALIA PTY LTD.,93024.42,83364.59,67991.38,79309.79,84706.37,78310.23,79159.67,59419.36
"AIO, LLC",426166.04,432250,398204.4,369810.87,495229.01,448472.88,484103.59,695228.14
AIPSO,188820.59,165749.18,216958.88,176300.7,241931.19,153384.41,242763.6,161558.26
"AIR ENTERPRISES, LLC",99907.65,144676.27,183558.5,147245.1,157671.18,124587.56,97604.68,88630.52
"AIR HYDRO POWER, INC.",407831.64,500955.29,591441.87,423565.55,368274.75,406498.3,452411.88,423938.34
AIR LEASE CORPORATION,1258142.97,1380996.01,1001141.35,683931.25,1500558.89,1434015.52,596090.54,1219277.49
"AIR POWER SYSTEMS CO., INC.",42593.94,65003.85,67570.59,56629.09,49473.94,65426.33,62215.06,57978.76
"AIR TECHNIQUES, INC.",395563.77,438794.16,386530.72,352328.13,437704.02,400159.75,514255.28,544675.54
AIR TRANSPORT ASSOCIATION,297025.64,336610.84,317078.39,208493.14,400000.62,243658.55,319286.34,333630.2
AIR TREATMENT CORPORATION,302939.62,245761.65,101811.57,208573,197904.12,488452.46,90817.79,116061.08
"AIRBUS HELICOPTERS, INC.",1492984.27,1145249.13,1282391.48,1122852.59,1520488.03,1151997.25,1431702.04,1276957.21
AIRCRAFT OWNERS & PILOTS ASSOCIATION,620915.53,403753.29,553580.41,609314.15,552516.9,427483.44,541843.88,488643.83
AIRLINE SERVICES LTD,454440.67,375615.2,505406.98,261399.68,474746.08,322010.06,261430.2,322313.63
AIRLINES REPORTING CORPORATION,605659.3,541620.79,621795.29,563373.36,522392.28,467357.74,567389.73,542843.54
"AIRROSTI REHAB CENTER, INC.",952819.74,940418.47,1348310.97,1648319.93,1597419.96,1476230.5,1249400.57,1079423.69
AIRSPRINT INC.,374268.37,517421.66,679901.82,676185.72,660360.76,695414.85,703492.21,757967.03
